,UF,NOME DA UF,MUNICIPIO,NOME DO MUNICIPIO,DISTRITO,NOME DO DISTRITO,SUBDISTRITO,NOME DO SUBDISTRITO,CODIGO IBGE
551,41,Paraná,02752,Bela Vista da Caroba,05,Bela Vista da Caroba,,,4102752
555,41,Paraná,04501,Capanema,20,São Luiz,,,4104501
557,41,Paraná,19004,Pérola d'Oeste,15,Conciolândia,,,4119004
562,41,Paraná,19806,Planalto,25,Valério,,,4119806
564,41,Paraná,20358,Pranchita,10,Canzianópolis,,,4120358
568,41,Paraná,21406,Realeza,20,São Roque,,,4121406
574,41,Paraná,23808,Santa Izabel do Oeste,30,União do Oeste,,,4123808
576,41,Paraná,02604,Barracão,15,Siqueira Belo,,,4102604
577,41,Paraná,03024,Boa Esperança do Iguaçu,05,Boa Esperança do Iguaçu,,,4103024
578,41,Paraná,03156,Bom Jesus do Sul,05,Bom Jesus do Sul,,,4103156
579,41,Paraná,06571,Cruzeiro do Iguaçu,05,Cruzeiro do Iguaçu,,,4106571
581,41,Paraná,07207,Dois Vizinhos,30,Santa Lúcia,,,4107207
584,41,Paraná,07405,Enéas Marques,20,Vista Alegre,,,4107405
585,41,Paraná,07850,Flor da Serra do Sul,05,Flor da Serra do Sul,,,4107850
590,41,Paraná,08403,Francisco Beltrão,25,Secção Jacaré,,,4108403
591,41,Paraná,14351,Manfrinópolis,05,Manfrinópolis,,,4114351
592,41,Paraná,15408,Marmeleiro,05,Marmeleiro,,,4115408
593,41,Paraná,16950,Nova Esperança do Sudoeste,05,Nova Esperança do Sudoeste,,,4116950
594,41,Paraná,17255,Nova Prata do Iguaçu,05,Nova Prata do Iguaçu,,,4117255
595,41,Paraná,19251,Pinhal de São Bento,05,Pinhal de São Bento,,,4119251
598,41,Paraná,21604,Renascença,15,Canela,,,4121604
600,41,Paraná,22800,Salgado Filho,20,Tiradentes,,,4122800
601,41,Paraná,23006,Salto do Lontra,05,Salto do Lontra,,,4123006
604,41,Paraná,24400,Santo Antônio do Sudoeste,30,São Pedro do Florido,,,4124400
609,41,Paraná,25209,São Jorge d'Oeste,20,Sede Nova Sant'Ana,,,4125209
612,41,Paraná,28609,Verê,15,Sede Progresso,,,4128609
613,41,Paraná,03222,Bom Sucesso do Sul,05,Bom Sucesso do Sul,,,4103222
616,41,Paraná,05409,Chopinzinho,15,São Luiz,,,4105409
618,41,Paraná,06506,Coronel Vivida,10,Vista Alegre,,,4106506
621,41,Paraná,11209,Itapejara d'Oeste,15,Coxilha Rica,,,4111209
624,41,Paraná,15309,Mariópolis,15,Senhor Bom Jesus dos Gramados,,,4115309
626,41,Paraná,18501,Pato Branco,30,São Roque do Chopim,,,4118501
631,41,Paraná,24806,São João,20,Vila Paraíso,,,4124806
